speedup 10000.00
duration 100000
DEBUG: 0.200210 customer 4 leaves shop
DEBUG: 0.200213 customer 2 enters shop
DEBUG: 0.200214 customer 2 leaves shop
DEBUG: 0.200217 customer 3 enters shop
DEBUG: 0.200218 customer 3 leaves shop
DEBUG: 0.202359 customer 4 enters shop
DEBUG: 0.202363 customer 4 leaves shop
DEBUG: 0.202368 customer 2 enters shop
DEBUG: 0.202369 customer 2 leaves shop
DEBUG: 0.204473 customer 3 enters shop
DEBUG: 0.204477 customer 3 leaves shop
DEBUG: 0.204483 customer 4 enters shop
DEBUG: 0.204484 customer 4 leaves shop
DEBUG: 0.205538 customer 2 enters shop
DEBUG: 0.205540 customer 2 leaves shop
DEBUG: 0.205544 customer 8 enters shop
DEBUG: 0.205545 customer 8 leaves shop
DEBUG: 0.206567 customer 4 enters shop
DEBUG: 0.206569 customer 4 leaves shop
DEBUG: 0.207787 customer 8 enters shop
DEBUG: 0.207803 customer 8 leaves shop
DEBUG: 0.207822 customer 2 enters shop
DEBUG: 0.207824 customer 2 leaves shop
DEBUG: 0.207871 customer 3 enters shop
DEBUG: 0.207873 customer 3 leaves shop
DEBUG: 0.208820 customer 4 enters shop
DEBUG: 0.208831 customer 4 leaves shop
DEBUG: 0.210917 customer 2 enters shop
DEBUG: 0.210920 customer 2 leaves shop
DEBUG: 0.210926 customer 3 enters shop
DEBUG: 0.210927 customer 3 leaves shop
DEBUG: 0.210929 customer 4 enters shop
DEBUG: 0.210930 customer 4 leaves shop
DEBUG: 0.210933 customer 8 enters shop
DEBUG: 0.210934 customer 8 leaves shop
DEBUG: 0.213502 customer 3 enters shop
DEBUG: 0.213505 customer 3 leaves shop
DEBUG: 0.213509 customer 2 enters shop
DEBUG: 0.213510 customer 2 leaves shop
DEBUG: 0.213512 customer 4 enters shop
DEBUG: 0.213513 customer 4 leaves shop
DEBUG: 0.213515 customer 8 enters shop
DEBUG: 0.213516 customer 8 leaves shop
DEBUG: 0.215643 customer 3 enters shop
DEBUG: 0.215645 customer 3 leaves shop
DEBUG: 0.215648 customer 4 enters shop
DEBUG: 0.215649 customer 4 leaves shop
DEBUG: 0.215651 customer 8 enters shop
DEBUG: 0.215652 customer 8 leaves shop
DEBUG: 0.216717 customer 2 enters shop
DEBUG: 0.216719 customer 2 leaves shop
